"date","url","name","pre.for","pre.aga","pre.und","post.for","post.aga","post.und","for.to.for","for.to.aga","for.to.und","aga.to.for","aga.to.aga","aga.to.und","und.to.for","und.to.aga","und.to.for.1"
"04/15/2015","https://www.intelligencesquaredus.org/debates/abolish-death-penalty","Abolish the Death Penalty",48,18,34,55,39,6,37,10,1,3,14,1,15,15,4
"03/31/2015","https://www.intelligencesquaredus.org/debates/president-has-exceeded-his-constitutional-authority-waging-war-without-congressional","The President Has Exceeded His Constitutional Authority by Waging War Without Congressional Authorization",28,31,40,39,51,9,19,7,2,7,22,2,13,22,5
"03/11/2015","https://www.intelligencesquaredus.org/debates/us-should-adopt-right-be-forgotten-online","The U.S. Should Adopt the Right to Be Forgotten Online",34,28,38,35,56,9,21,8,5,5,22,1,9,26,3
"02/24/2015","https://www.intelligencesquaredus.org/debates/liberals-are-stifling-intellectual-diversity-campus","Liberals Are Stifling Intellectual Diversity on Campus",32,20,48,60,32,8,29,2,1,8,11,1,23,19,6
"02/11/2015","https://www.intelligencesquaredus.org/debates/declinists-be-damned-bet-america","Declinists be Damned Bet on America",48,24,28,64,25,11,37,8,3,11,10,3,16,7,5
"01/15/2015","https://www.intelligencesquaredus.org/debates/amazon-readers-friend","Amazon is the Readers Best Friend",43,28,30,43,49,9,22,16,5,7,20,1,14,13,3
"12/04/2014","https://www.intelligencesquaredus.org/debates/genetically-modify-food","Genetically Modify Food",32,30,37,60,30,9,29,2,1,9,18,3,22,10,5
"11/03/2014","https://www.intelligencesquaredus.org/debates/legalize-assisted-suicide","Legalize Assisted Suicide",63,11,26,67,22,11,47,7,9,5,6,0,15,9,2
"10/22/2014","https://www.intelligencesquaredus.org/debates/income-inequality-impairs-american-dream-upward-mobility","Income Inequality Impairs The American Dream Of Upward Mobility",60,12,26,53,36,9,40,15,5,2,10,0,11,11,4
"10/07/2014","https://www.intelligencesquaredus.org/debates/mass-collection-us-phone-records-violates-fourth-amendment","Mass Collection of U.S. Phone Records Violates the Fourth Amendment",44,18,37,66,27,6,35,7,2,5,13,0,26,7,4
