date, url, name
11/20/2013,https://www.intelligencesquaredus.org/debates/spy-me-id-rather-be-safe,Spy on me Id Rather Be Safe
11/14/2013,https://www.intelligencesquaredus.org/debates/constitutional-right-bear-arms-has-outlived-its-usefulness,The Constitutional Right to Bear Arms has Outlived its Usefulness
10/30/2013,https://www.intelligencesquaredus.org/debates/let-anyone-take-job-anywhere,Let Anyone take a Job Anywhere
10/18/2013,https://www.intelligencesquaredus.org/debates/better-future-live-red-state,For a Better Future Live in a Red State
10/16/2013,https://www.intelligencesquaredus.org/debates/break-big-banks,Break up the Big Banks
09/10/2013,https://www.intelligencesquaredus.org/debates/us-drone-program-fatally-flawed,The US Drone Program is Fatally Flawed
08/09/2013,https://www.intelligencesquaredus.org/debates/us-has-no-dog-fight-syria,The US Has No Dog in the Fight in Syria
06/19/2013,https://www.intelligencesquaredus.org/debates/cutting-pentagons-budget-gift-our-enemies,Cuttin the Pentagons Budget is a Gift to our Enemies
05/08/2013,https://www.intelligencesquaredus.org/debates/fdas-caution-hazardous-our-health,The FDAs Caution is Hazardous to our Health
04/17/2013,https://www.intelligencesquaredus.org/debates/gop-must-seize-center-or-die,The GOP must Seize the Center or Die
04/03/2013,https://www.intelligencesquaredus.org/debates/abolish-minimum-wage, Abolish Minimum Wage
03/13/2013,https://www.intelligencesquaredus.org/debates/america-doesnt-need-strong-dollar-policy, America Doesnt Need a Strong Dollar Policy
02/13/2013,https://www.intelligencesquaredus.org/debates/prohibit-genetically-engineered-babies,Prohibit Genetically Engineered Babies
01/16/2013,https://www.intelligencesquaredus.org/debates/israel-can-live-nuclear-iran,Israel Can Live with a Nuclear Iran
12/05/2012,https://www.intelligencesquaredus.org/debates/science-refutes-god,Science Refutes God
11/14/2012,https://www.intelligencesquaredus.org/debates/legalize-drugs,Legalize Drugs
10/24/2012,https://www.intelligencesquaredus.org/debates/rich-are-taxed-enough,The Rich are Taxed Enough
10/10/2012,https://www.intelligencesquaredus.org/debates/ration-end-life-care,Ration End of Life Healthcare
10/04/2012,https://www.intelligencesquaredus.org/debates/better-elected-islamists-dictators,Better Elected Islamists than Dictators
